,episode,make_span,reward,no-op
0,0.0,1843.0,120.72727272727275,0.0
1,0.0,1909.0,114.06060606060602,0.0
2,0.0,1883.0,116.6868686868686,0.0
3,1.0,1900.0,114.96969696969698,0.0
4,1.0,1913.0,113.65656565656559,0.0
5,1.0,1828.0,122.2424242424242,0.0
6,2.0,1817.0,123.35353535353536,0.0
7,2.0,1866.0,118.40404040404037,0.0
8,2.0,1874.0,117.59595959595954,0.0
9,3.0,1866.0,118.40404040404033,0.0
10,3.0,1869.0,118.10101010101005,0.0
11,3.0,1913.0,113.65656565656555,0.0
12,4.0,1855.0,119.5151515151515,0.0
13,4.0,1870.0,117.99999999999999,0.0
14,4.0,1883.0,116.6868686868687,0.0
15,5.0,1883.0,116.68686868686868,0.0
16,5.0,1870.0,117.99999999999994,0.0
17,5.0,1908.0,114.1616161616161,0.0
18,6.0,1870.0,117.9999999999999,0.0
19,6.0,1883.0,116.68686868686859,0.0
20,6.0,1868.0,118.20202020202015,0.0
21,7.0,1855.0,119.51515151515149,0.0
22,7.0,1866.0,118.40404040404037,0.0
23,7.0,1874.0,117.59595959595963,0.0
24,8.0,1855.0,119.51515151515153,0.0
25,8.0,1860.0,119.01010101010095,0.0
26,8.0,1890.0,115.97979797979804,0.0
27,9.0,1913.0,113.6565656565656,0.0
28,9.0,1866.0,118.40404040404032,0.0
29,9.0,1913.0,113.65656565656559,0.0
30,10.0,1905.0,114.46464646464648,0.0
31,10.0,1845.0,120.52525252525248,0.0
32,10.0,1866.0,118.40404040404032,0.0
33,11.0,1866.0,118.40404040404032,0.0
34,11.0,1866.0,118.40404040404032,0.0
35,11.0,1905.0,114.4646464646465,0.0
36,12.0,1872.0,117.79797979797969,0.0
37,12.0,1913.0,113.65656565656568,0.0
38,12.0,1842.0,120.8282828282828,0.0
39,13.0,1811.0,123.9595959595959,0.0
40,13.0,1894.0,115.57575757575749,0.0
41,13.0,1918.0,113.15151515151507,0.0
42,14.0,1913.0,113.65656565656565,0.0
43,14.0,1905.0,114.46464646464644,0.0
44,14.0,1882.0,116.78787878787877,0.0
45,15.0,1913.0,113.65656565656562,0.0
46,15.0,1870.0,118.00000000000004,0.0
47,15.0,1866.0,118.40404040404042,0.0
48,16.0,1905.0,114.46464646464652,0.0
49,16.0,1870.0,117.99999999999997,0.0
50,16.0,1854.0,119.61616161616158,0.0
51,17.0,1870.0,117.99999999999997,0.0
52,17.0,1917.0,113.25252525252527,0.0
53,17.0,1905.0,114.46464646464642,0.0
54,18.0,1875.0,117.49494949494945,0.0
55,18.0,1883.0,116.68686868686862,0.0
56,18.0,1845.0,120.52525252525251,0.0
57,19.0,1900.0,114.96969696969693,0.0
58,19.0,1845.0,120.52525252525247,0.0
59,19.0,1845.0,120.52525252525245,0.0
60,20.0,1830.0,122.04040404040397,0.0
61,20.0,1883.0,116.6868686868686,0.0
62,20.0,1870.0,118.0,0.0
63,21.0,1905.0,114.46464646464646,0.0
64,21.0,1858.0,119.2121212121212,0.0
65,21.0,1855.0,119.51515151515156,0.0
66,22.0,1870.0,117.99999999999993,0.0
67,22.0,1877.0,117.29292929292929,0.0
68,22.0,1830.0,122.04040404040401,0.0
69,23.0,1908.0,114.16161616161607,0.0
70,23.0,1822.0,122.84848484848479,0.0
