,episode,make_span,reward,min make span
0,0.0,1296.0,-21.636363636363637,1296.0
1,0.0,1326.0,-24.666666666666668,1296.0
2,0.0,1358.0,-27.8989898989899,1296.0
3,1.0,1343.0,-26.38383838383838,1296.0
4,1.0,1354.0,-27.4949494949495,1296.0
5,1.0,1330.0,-25.070707070707073,1296.0
6,2.0,1332.0,-25.272727272727266,1296.0
7,2.0,1326.0,-24.666666666666664,1296.0
8,2.0,1367.0,-28.808080808080806,1296.0
9,3.0,1330.0,-25.07070707070707,1296.0
10,3.0,1276.0,-19.616161616161616,1276.0
11,3.0,1318.0,-23.858585858585855,1276.0
12,4.0,1345.0,-26.58585858585859,1276.0
13,4.0,1263.0,-18.303030303030305,1263.0
14,4.0,1271.0,-19.11111111111111,1263.0
15,5.0,1288.0,-20.828282828282827,1263.0
16,5.0,1358.0,-27.898989898989903,1263.0
17,5.0,1354.0,-27.494949494949495,1263.0
18,6.0,1277.0,-19.717171717171716,1263.0
19,6.0,1342.0,-26.282828282828287,1263.0
20,6.0,1323.0,-24.363636363636363,1263.0
21,7.0,1315.0,-23.55555555555555,1263.0
22,7.0,1283.0,-20.32323232323232,1263.0
23,7.0,1313.0,-23.35353535353535,1263.0
24,8.0,1312.0,-23.252525252525256,1263.0
25,8.0,1413.0,-33.45454545454545,1263.0
26,8.0,1306.0,-22.646464646464647,1263.0
27,9.0,1318.0,-23.858585858585858,1263.0
28,9.0,1258.0,-17.7979797979798,1258.0
29,9.0,1255.0,-17.494949494949495,1255.0
30,10.0,1301.0,-22.141414141414142,1255.0
31,10.0,1236.0,-15.575757575757576,1236.0
32,10.0,1300.0,-22.04040404040404,1236.0
33,11.0,1304.0,-22.444444444444443,1236.0
34,11.0,1336.0,-25.67676767676768,1236.0
35,11.0,1304.0,-22.444444444444446,1236.0
36,12.0,1323.0,-24.363636363636363,1236.0
37,12.0,1311.0,-23.151515151515152,1236.0
38,12.0,1274.0,-19.414141414141415,1236.0
39,13.0,1291.0,-21.131313131313128,1236.0
40,13.0,1315.0,-23.555555555555554,1236.0
41,13.0,1311.0,-23.15151515151515,1236.0
42,14.0,1281.0,-20.12121212121212,1236.0
43,14.0,1296.0,-21.636363636363633,1236.0
44,14.0,1271.0,-19.111111111111114,1236.0
45,15.0,1311.0,-23.151515151515156,1236.0
46,15.0,1265.0,-18.505050505050505,1236.0
47,15.0,1340.0,-26.080808080808083,1236.0
48,16.0,1247.0,-16.686868686868685,1236.0
49,16.0,1335.0,-25.575757575757578,1236.0
50,16.0,1259.0,-17.8989898989899,1236.0
51,17.0,1302.0,-22.242424242424242,1236.0
