,episode,make_span,reward,min make span
0,0.0,1355.0,-27.59595959595959,1355.0
1,0.0,1249.0,-16.88888888888889,1249.0
2,0.0,1313.0,-23.353535353535353,1249.0
3,1.0,1295.0,-21.535353535353536,1249.0
4,1.0,1308.0,-22.848484848484848,1249.0
5,1.0,1297.0,-21.737373737373737,1249.0
6,2.0,1377.0,-29.818181818181813,1249.0
7,2.0,1375.0,-29.61616161616162,1249.0
8,2.0,1328.0,-24.86868686868687,1249.0
9,3.0,1328.0,-24.86868686868686,1249.0
10,3.0,1365.0,-28.606060606060602,1249.0
11,3.0,1376.0,-29.717171717171723,1249.0
12,4.0,1397.0,-31.838383838383837,1249.0
13,4.0,1319.0,-23.95959595959596,1249.0
14,4.0,1342.0,-26.282828282828277,1249.0
15,5.0,1328.0,-24.868686868686872,1249.0
16,5.0,1331.0,-25.17171717171717,1249.0
17,5.0,1332.0,-25.272727272727273,1249.0
18,6.0,1362.0,-28.303030303030305,1249.0
19,6.0,1301.0,-22.14141414141414,1249.0
20,6.0,1377.0,-29.81818181818182,1249.0
21,7.0,1282.0,-20.222222222222225,1249.0
22,7.0,1361.0,-28.202020202020204,1249.0
23,7.0,1310.0,-23.05050505050505,1249.0
24,8.0,1283.0,-20.32323232323232,1249.0
25,8.0,1293.0,-21.333333333333332,1249.0
26,8.0,1303.0,-22.343434343434346,1249.0
27,9.0,1315.0,-23.55555555555556,1249.0
28,9.0,1284.0,-20.42424242424242,1249.0
29,9.0,1254.0,-17.39393939393939,1249.0
30,10.0,1278.0,-19.818181818181813,1249.0
31,10.0,1328.0,-24.86868686868687,1249.0
32,10.0,1322.0,-24.262626262626267,1249.0
33,11.0,1230.0,-14.969696969696969,1230.0
34,11.0,1241.0,-16.080808080808083,1230.0
35,11.0,1301.0,-22.141414141414142,1230.0
36,12.0,1225.0,-14.464646464646464,1225.0
37,12.0,1386.0,-30.727272727272727,1225.0
38,12.0,1348.0,-26.88888888888889,1225.0
39,13.0,1364.0,-28.505050505050512,1225.0
40,13.0,1308.0,-22.848484848484848,1225.0
41,13.0,1295.0,-21.535353535353536,1225.0
42,14.0,1328.0,-24.868686868686872,1225.0
43,14.0,1285.0,-20.525252525252526,1225.0
44,14.0,1375.0,-29.616161616161616,1225.0
45,15.0,1321.0,-24.161616161616163,1225.0
46,15.0,1352.0,-27.292929292929294,1225.0
47,15.0,1360.0,-28.1010101010101,1225.0
48,16.0,1353.0,-27.393939393939394,1225.0
49,16.0,1317.0,-23.757575757575758,1225.0
