,episode,make_span,reward,no-op
0,0.0,2447.0,137.55555555555557,0.0
1,0.0,2484.0,130.0808080808082,0.0
2,0.0,2430.0,140.98989898989885,0.0
3,1.0,2464.0,134.121212121212,0.0
4,1.0,2397.0,147.65656565656545,0.0
5,1.0,2402.0,146.6464646464646,0.0
6,2.0,2433.0,140.38383838383834,0.0
7,2.0,2424.0,142.20202020202024,0.0
8,2.0,2440.0,138.9696969696969,0.0
9,3.0,2385.0,150.08080808080803,0.0
10,3.0,2434.0,140.18181818181813,0.0
11,3.0,2376.0,151.89898989898964,0.0
12,4.0,2391.0,148.86868686868667,0.0
13,4.0,2356.0,155.93939393939402,0.0
14,4.0,2471.0,132.70707070707067,0.0
15,5.0,2437.0,139.5757575757574,0.0
16,5.0,2436.0,139.77777777777783,0.0
17,5.0,2454.0,136.1414141414139,0.0
18,6.0,2397.0,147.6565656565655,0.0
19,6.0,2398.0,147.4545454545454,0.0
20,6.0,2435.0,139.97979797979778,0.0
21,7.0,2406.0,145.83838383838372,0.0
22,7.0,2365.0,154.12121212121218,0.0
23,7.0,2442.0,138.56565656565647,0.0
24,8.0,2459.0,135.13131313131302,0.0
25,8.0,2400.0,147.05050505050494,0.0
26,8.0,2380.0,151.09090909090915,0.0
27,9.0,2418.0,143.41414141414126,0.0
28,9.0,2470.0,132.9090909090907,0.0
29,9.0,2448.0,137.3535353535354,0.0
30,10.0,2408.0,145.43434343434342,0.0
31,10.0,2445.0,137.9595959595959,0.0
32,10.0,2483.0,130.28282828282798,0.0
33,11.0,2367.0,153.7171717171717,0.0
34,11.0,2457.0,135.5353535353537,0.0
35,11.0,2427.0,141.59595959595924,0.0
36,12.0,2396.0,147.858585858586,0.0
37,12.0,2432.0,140.5858585858584,0.0
38,12.0,2445.0,137.959595959596,0.0
39,13.0,2366.0,153.91919191919212,0.0
40,13.0,2358.0,155.53535353535378,0.0
41,13.0,2426.0,141.79797979797962,0.0
42,14.0,2389.0,149.2727272727273,0.0
43,14.0,2377.0,151.69696969696983,0.0
44,14.0,2384.0,150.28282828282812,0.0
45,15.0,2459.0,135.13131313131308,0.0
46,15.0,2413.0,144.42424242424246,0.0
47,15.0,2393.0,148.46464646464645,0.0
