,episode,make_span,reward,min make span
0,0.0,3383.0,-166.43434343434345,3383.0
1,0.0,3415.0,-177.74747474747483,3383.0
2,0.0,3443.0,-187.64646464646444,3383.0
3,1.0,3346.0,-153.35353535353534,3346.0
4,1.0,3442.0,-187.2929292929293,3346.0
5,1.0,3347.0,-153.70707070707067,3346.0
6,2.0,3285.0,-131.78787878787878,3285.0
7,2.0,3332.0,-148.40404040404042,3285.0
8,2.0,3368.0,-161.1313131313131,3285.0
9,3.0,3364.0,-159.71717171717177,3285.0
10,3.0,3437.0,-185.52525252525248,3285.0
11,3.0,3362.0,-159.010101010101,3285.0
12,4.0,3427.0,-181.98989898989896,3285.0
13,4.0,3339.0,-150.87878787878793,3285.0
14,4.0,3363.0,-159.3636363636363,3285.0
15,5.0,3233.0,-113.4040404040404,3233.0
16,5.0,3360.0,-158.30303030303017,3233.0
17,5.0,3322.0,-144.86868686868675,3233.0
18,6.0,3345.0,-153.0,3233.0
19,6.0,3299.0,-136.73737373737376,3233.0
20,6.0,3390.0,-168.90909090909093,3233.0
21,7.0,3391.0,-169.26262626262633,3233.0
22,7.0,3311.0,-140.9797979797979,3233.0
23,7.0,3383.0,-166.43434343434336,3233.0
24,8.0,3316.0,-142.7474747474747,3233.0
25,8.0,3348.0,-154.06060606060603,3233.0
26,8.0,3344.0,-152.6464646464646,3233.0
27,9.0,3306.0,-139.21212121212127,3233.0
28,9.0,3335.0,-149.46464646464648,3233.0
29,9.0,3339.0,-150.87878787878793,3233.0
30,10.0,3396.0,-171.0303030303031,3233.0
31,10.0,3378.0,-164.66666666666663,3233.0
32,10.0,3368.0,-161.13131313131305,3233.0
33,11.0,3342.0,-151.93939393939402,3233.0
34,11.0,3273.0,-127.54545454545456,3233.0
35,11.0,3353.0,-155.82828282828274,3233.0
36,12.0,3356.0,-156.88888888888903,3233.0
37,12.0,3414.0,-177.3939393939393,3233.0
38,12.0,3338.0,-150.52525252525254,3233.0
39,13.0,3373.0,-162.89898989898995,3233.0
40,13.0,3366.0,-160.42424242424252,3233.0
41,13.0,3334.0,-149.1111111111112,3233.0
42,14.0,3344.0,-152.64646464646464,3233.0
43,14.0,3256.0,-121.53535353535351,3233.0
44,14.0,3429.0,-182.69696969696975,3233.0
45,15.0,3360.0,-158.30303030303028,3233.0
46,15.0,3388.0,-168.20202020202012,3233.0
47,15.0,3287.0,-132.49494949494945,3233.0
48,16.0,3350.0,-154.7676767676768,3233.0
49,16.0,3432.0,-183.75757575757586,3233.0
50,16.0,3216.0,-107.39393939393938,3216.0
51,17.0,3281.0,-130.37373737373738,3216.0
52,17.0,3332.0,-148.4040404040404,3216.0
53,17.0,3296.0,-135.67676767676767,3216.0
54,18.0,3334.0,-149.11111111111103,3216.0
55,18.0,3290.0,-133.55555555555563,3216.0
56,18.0,3457.0,-192.59595959595973,3216.0
57,19.0,3394.0,-170.32323232323233,3216.0
58,19.0,3306.0,-139.21212121212116,3216.0
59,19.0,3287.0,-132.49494949494942,3216.0
60,20.0,3378.0,-164.66666666666663,3216.0
61,20.0,3398.0,-171.73737373737382,3216.0
62,20.0,3358.0,-157.59595959595967,3216.0
63,21.0,3273.0,-127.54545454545459,3216.0
64,21.0,3315.0,-142.39393939393935,3216.0
65,21.0,3290.0,-133.5555555555555,3216.0
66,22.0,3359.0,-157.94949494949492,3216.0
67,22.0,3358.0,-157.59595959595964,3216.0
68,22.0,3279.0,-129.66666666666663,3216.0
