,episode,make_span,reward,no-op
0,0.0,5926.0,841.030303030302,0.0
1,0.0,5946.0,836.9898989898988,0.0
2,0.0,5894.0,847.4949494949472,0.0
3,1.0,5876.0,851.1313131313133,0.0
4,1.0,5923.0,841.6363636363633,0.0
5,1.0,5951.0,835.9797979797971,0.0
6,2.0,5879.0,850.5252525252517,0.0
7,2.0,5909.0,844.4646464646469,0.0
8,2.0,5864.0,853.5555555555557,0.0
9,3.0,5904.0,845.474747474747,0.0
10,3.0,5913.0,843.6565656565646,0.0
11,3.0,6040.0,818.0000000000015,0.0
12,4.0,5977.0,830.7272727272729,0.0
13,4.0,5923.0,841.6363636363645,0.0
14,4.0,5887.0,848.9090909090921,0.0
15,5.0,5868.0,852.7474747474757,0.0
16,5.0,5962.0,833.7575757575759,0.0
17,5.0,5922.0,841.8383838383832,0.0
18,6.0,5908.0,844.6666666666646,0.0
19,6.0,5827.0,861.0303030303011,0.0
20,6.0,5939.0,838.4040404040408,0.0
21,7.0,5941.0,838.0000000000007,0.0
22,7.0,5941.0,838.0000000000013,0.0
23,7.0,5853.0,855.7777777777785,0.0
24,8.0,5907.0,844.868686868688,0.0
25,8.0,5942.0,837.7979797979806,0.0
26,8.0,5995.0,827.0909090909083,0.0
27,9.0,6021.0,821.8383838383845,0.0
28,9.0,5884.0,849.5151515151525,0.0
29,9.0,5861.0,854.1616161616164,0.0
30,10.0,5942.0,837.7979797979782,0.0
31,10.0,5876.0,851.1313131313143,0.0
32,10.0,5944.0,837.3939393939391,0.0
33,11.0,5864.0,853.5555555555546,0.0
34,11.0,5812.0,864.0606060606061,0.0
35,11.0,5912.0,843.8585858585856,0.0
36,12.0,5880.0,850.3232323232327,0.0
37,12.0,5956.0,834.9696969696969,0.0
38,12.0,5939.0,838.4040404040425,0.0
39,13.0,5941.0,838.000000000002,0.0
40,13.0,5895.0,847.2929292929279,0.0
41,13.0,6016.0,822.8484848484835,0.0
42,14.0,5945.0,837.1919191919197,0.0
43,14.0,5956.0,834.9696969696987,0.0
44,14.0,5921.0,842.0404040404051,0.0
45,15.0,5941.0,838.0,0.0
46,15.0,5851.0,856.1818181818195,0.0
47,15.0,5930.0,840.2222222222222,0.0
48,16.0,6012.0,823.6565656565652,0.0
49,16.0,5880.0,850.3232323232336,0.0
50,16.0,5936.0,839.0101010101021,0.0
51,17.0,5900.0,846.2828282828274,0.0
52,17.0,5930.0,840.2222222222216,0.0
53,17.0,5831.0,860.2222222222222,0.0
54,18.0,5999.0,826.2828282828276,0.0
55,18.0,5819.0,862.6464646464652,0.0
56,18.0,5902.0,845.878787878789,0.0
57,19.0,5952.0,835.7777777777786,0.0
58,19.0,5931.0,840.0202020202007,0.0
59,19.0,5996.0,826.8888888888899,0.0
60,20.0,5919.0,842.4444444444445,0.0
61,20.0,5916.0,843.0505050505033,0.0
62,20.0,5921.0,842.0404040404042,0.0
63,21.0,5856.0,855.1717171717182,0.0
64,21.0,5872.0,851.9393939393935,0.0
65,21.0,5952.0,835.7777777777758,0.0
66,22.0,5907.0,844.8686868686856,0.0
67,22.0,5970.0,832.1414141414139,0.0
68,22.0,5990.0,828.1010101010105,0.0
69,23.0,5946.0,836.9898989898986,0.0
70,23.0,5930.0,840.2222222222223,0.0
71,23.0,5910.0,844.2626262626247,0.0
72,24.0,5951.0,835.9797979797981,0.0
73,24.0,5908.0,844.6666666666665,0.0
74,24.0,5869.0,852.545454545454,0.0
75,25.0,5927.0,840.8282828282832,0.0
76,25.0,5865.0,853.3535353535369,0.0
77,25.0,5954.0,835.3737373737373,0.0
78,26.0,5966.0,832.9494949494947,0.0
79,26.0,5871.0,852.1414141414126,0.0
80,26.0,5969.0,832.3434343434332,0.0
81,27.0,5939.0,838.4040404040389,0.0
82,27.0,5855.0,855.3737373737372,0.0
83,27.0,5892.0,847.8989898989888,0.0
84,28.0,5929.0,840.4242424242417,0.0
85,28.0,5930.0,840.2222222222216,0.0
86,28.0,5913.0,843.6565656565627,0.0
87,29.0,5974.0,831.3333333333331,0.0
88,29.0,5918.0,842.6464646464652,0.0
89,29.0,5851.0,856.1818181818194,0.0
90,30.0,5937.0,838.8080808080808,0.0
91,30.0,5972.0,831.7373737373745,0.0
92,30.0,6055.0,814.9696969696973,0.0
93,31.0,5981.0,829.9191919191919,0.0
94,31.0,5847.0,856.9898989898994,0.0
95,31.0,5871.0,852.1414141414142,0.0
96,32.0,5957.0,834.7676767676759,0.0
97,32.0,5891.0,848.1010101010122,0.0
98,32.0,5881.0,850.1212121212131,0.0
99,33.0,5911.0,844.0606060606062,0.0
100,33.0,5884.0,849.5151515151528,0.0
101,33.0,5841.0,858.2020202020202,0.0
102,34.0,5914.0,843.4545454545447,0.0
103,34.0,6023.0,821.4343434343436,0.0
104,34.0,5904.0,845.4747474747476,0.0
105,35.0,5923.0,841.6363636363626,0.0
106,35.0,5866.0,853.1515151515152,0.0
107,35.0,5849.0,856.5858585858601,0.0
108,36.0,5925.0,841.2323232323239,0.0
