,simple-data_set_rescheduling,converge_cnt,total_time,no_op
abz7 - 副本 (2),723.0,2741.0,852.6720750331879,0.0
abz7 - 副本,720.0,2558.0,753.952339887619,0.0
abz7,719.0,2564.0,749.4056458473206,0.0
dmu16 - 副本 (2),4138.0,5675.0,3600.5129058361053,0.0
dmu16 - 副本,4116.0,5780.0,3601.5958676338196,0.0
dmu16,4116.0,5894.0,3600.9637842178345,0.0
ft06 - 副本 (2),59.0,221.0,12.01886510848999,0.0
ft06 - 副本,59.0,239.0,13.114447593688965,0.0
ft06,59.0,293.0,15.708998441696167,0.0
la21 - 副本 (2),1149.0,1475.0,215.68691563606262,0.0
la21 - 副本,1153.0,1757.0,260.43378257751465,0.0
la21,1156.0,1805.0,265.8054881095886,0.0
la26 - 副本 (2),1238.0,3758.0,759.116534948349,0.0
la26 - 副本,1290.0,3146.0,636.3883283138275,0.0
la26,1299.0,2684.0,542.4377782344818,0.0
orb01 - 副本 (2),1215.0,1115.0,112.98098087310791,0.0
orb01 - 副本,1201.0,728.0,71.88826632499695,0.0
orb01,1234.0,953.0,94.4509744644165,0.0
ta21 - 副本 (2),1865.0,2954.0,1084.9562709331512,0.0
ta21 - 副本,1866.0,4187.0,1577.552119731903,0.0
ta21,1848.0,3854.0,1438.68643283844,0.0
ta61 - 副本 (2),3194.0,3260.0,3603.4587523937225,0.0
ta61 - 副本,3133.0,3257.0,3601.401915073395,0.0
ta61,59.0,194.0,11.155990839004517,0.0
