,episode,make_span,reward,min make span
0,0.0,1343.0,-26.38383838383838,1343.0
1,0.0,1358.0,-27.8989898989899,1343.0
2,0.0,1306.0,-22.646464646464647,1306.0
3,1.0,1330.0,-25.070707070707066,1306.0
4,1.0,1378.0,-29.919191919191924,1306.0
5,1.0,1363.0,-28.40404040404041,1306.0
6,2.0,1220.0,-13.95959595959596,1220.0
7,2.0,1313.0,-23.353535353535353,1220.0
8,2.0,1318.0,-23.858585858585858,1220.0
9,3.0,1297.0,-21.737373737373737,1220.0
10,3.0,1355.0,-27.5959595959596,1220.0
11,3.0,1369.0,-29.01010101010101,1220.0
12,4.0,1291.0,-21.131313131313128,1220.0
13,4.0,1344.0,-26.484848484848484,1220.0
14,4.0,1383.0,-30.424242424242422,1220.0
15,5.0,1313.0,-23.353535353535353,1220.0
16,5.0,1332.0,-25.272727272727273,1220.0
17,5.0,1295.0,-21.53535353535354,1220.0
18,6.0,1372.0,-29.313131313131315,1220.0
19,6.0,1293.0,-21.333333333333336,1220.0
20,6.0,1274.0,-19.414141414141415,1220.0
21,7.0,1299.0,-21.939393939393938,1220.0
22,7.0,1304.0,-22.444444444444446,1220.0
23,7.0,1325.0,-24.565656565656564,1220.0
24,8.0,1380.0,-30.12121212121212,1220.0
25,8.0,1295.0,-21.53535353535353,1220.0
26,8.0,1325.0,-24.565656565656568,1220.0
27,9.0,1275.0,-19.515151515151516,1220.0
28,9.0,1371.0,-29.21212121212121,1220.0
29,9.0,1353.0,-27.39393939393939,1220.0
30,10.0,1321.0,-24.161616161616166,1220.0
31,10.0,1310.0,-23.050505050505052,1220.0
32,10.0,1271.0,-19.11111111111111,1220.0
33,11.0,1278.0,-19.818181818181817,1220.0
34,11.0,1226.0,-14.565656565656564,1220.0
35,11.0,1325.0,-24.565656565656564,1220.0
36,12.0,1300.0,-22.040404040404038,1220.0
37,12.0,1278.0,-19.818181818181813,1220.0
38,12.0,1315.0,-23.555555555555554,1220.0
39,13.0,1362.0,-28.303030303030294,1220.0
40,13.0,1308.0,-22.848484848484848,1220.0
41,13.0,1315.0,-23.555555555555554,1220.0
42,14.0,1287.0,-20.727272727272727,1220.0
43,14.0,1280.0,-20.02020202020202,1220.0
44,14.0,1365.0,-28.60606060606061,1220.0
45,15.0,1322.0,-24.262626262626263,1220.0
46,15.0,1272.0,-19.212121212121215,1220.0
47,15.0,1249.0,-16.88888888888889,1220.0
48,16.0,1322.0,-24.262626262626263,1220.0
49,16.0,1327.0,-24.767676767676768,1220.0
50,16.0,1350.0,-27.09090909090909,1220.0
51,17.0,1339.0,-25.979797979797976,1220.0
52,17.0,1315.0,-23.555555555555554,1220.0
53,17.0,1378.0,-29.919191919191917,1220.0
54,18.0,1315.0,-23.555555555555554,1220.0
55,18.0,1244.0,-16.383838383838388,1220.0
56,18.0,1315.0,-23.555555555555557,1220.0
57,19.0,1284.0,-20.424242424242426,1220.0
58,19.0,1323.0,-24.363636363636367,1220.0
59,19.0,1318.0,-23.858585858585858,1220.0
60,20.0,1328.0,-24.868686868686872,1220.0
61,20.0,1384.0,-30.525252525252526,1220.0
62,20.0,1337.0,-25.777777777777782,1220.0
63,21.0,1303.0,-22.343434343434346,1220.0
64,21.0,1263.0,-18.303030303030305,1220.0
65,21.0,1317.0,-23.757575757575758,1220.0
66,22.0,1378.0,-29.919191919191917,1220.0
67,22.0,1269.0,-18.909090909090907,1220.0
68,22.0,1328.0,-24.86868686868687,1220.0
69,23.0,1268.0,-18.80808080808081,1220.0
70,23.0,1329.0,-24.96969696969697,1220.0
71,23.0,1403.0,-32.44444444444444,1220.0
72,24.0,1332.0,-25.27272727272727,1220.0
73,24.0,1301.0,-22.14141414141414,1220.0
74,24.0,1328.0,-24.86868686868687,1220.0
75,25.0,1322.0,-24.26262626262626,1220.0
76,25.0,1345.0,-26.58585858585859,1220.0
77,25.0,1307.0,-22.747474747474747,1220.0
78,26.0,1307.0,-22.74747474747475,1220.0
79,26.0,1362.0,-28.303030303030305,1220.0
80,26.0,1332.0,-25.27272727272727,1220.0
81,27.0,1293.0,-21.333333333333332,1220.0
82,27.0,1328.0,-24.868686868686872,1220.0
83,27.0,1353.0,-27.393939393939398,1220.0
84,28.0,1294.0,-21.434343434343432,1220.0
85,28.0,1283.0,-20.323232323232318,1220.0
86,28.0,1335.0,-25.57575757575758,1220.0
87,29.0,1308.0,-22.84848484848485,1220.0
88,29.0,1415.0,-33.65656565656567,1220.0
89,29.0,1367.0,-28.80808080808081,1220.0
90,30.0,1356.0,-27.696969696969695,1220.0
91,30.0,1344.0,-26.484848484848484,1220.0
92,30.0,1339.0,-25.979797979797976,1220.0
93,31.0,1342.0,-26.282828282828284,1220.0
94,31.0,1313.0,-23.353535353535353,1220.0
95,31.0,1360.0,-28.1010101010101,1220.0
96,32.0,1346.0,-26.686868686868685,1220.0
