,episode,make_span,reward,min make span
0,0.0,1313.0,-23.353535353535353,1313.0
1,0.0,1336.0,-25.676767676767675,1313.0
2,0.0,1351.0,-27.191919191919194,1313.0
3,1.0,1356.0,-27.696969696969695,1313.0
4,1.0,1271.0,-19.111111111111114,1271.0
5,1.0,1336.0,-25.676767676767682,1271.0
6,2.0,1371.0,-29.212121212121215,1271.0
7,2.0,1312.0,-23.252525252525253,1271.0
8,2.0,1357.0,-27.7979797979798,1271.0
9,3.0,1343.0,-26.383838383838384,1271.0
10,3.0,1292.0,-21.232323232323232,1271.0
11,3.0,1280.0,-20.02020202020202,1271.0
12,4.0,1313.0,-23.35353535353535,1271.0
13,4.0,1284.0,-20.424242424242426,1271.0
14,4.0,1349.0,-26.98989898989899,1271.0
15,5.0,1286.0,-20.626262626262623,1271.0
16,5.0,1322.0,-24.26262626262626,1271.0
17,5.0,1318.0,-23.858585858585858,1271.0
18,6.0,1275.0,-19.51515151515152,1271.0
19,6.0,1273.0,-19.31313131313131,1271.0
20,6.0,1323.0,-24.363636363636367,1271.0
21,7.0,1260.0,-18.000000000000004,1260.0
22,7.0,1278.0,-19.81818181818182,1260.0
23,7.0,1345.0,-26.58585858585859,1260.0
24,8.0,1492.0,-41.43434343434344,1260.0
25,8.0,1334.0,-25.474747474747474,1260.0
26,8.0,1293.0,-21.333333333333332,1260.0
27,9.0,1286.0,-20.626262626262626,1260.0
28,9.0,1288.0,-20.82828282828283,1260.0
29,9.0,1284.0,-20.424242424242426,1260.0
30,10.0,1353.0,-27.393939393939394,1260.0
31,10.0,1279.0,-19.919191919191917,1260.0
32,10.0,1366.0,-28.70707070707071,1260.0
33,11.0,1204.0,-12.34343434343434,1204.0
34,11.0,1251.0,-17.090909090909086,1204.0
35,11.0,1263.0,-18.303030303030305,1204.0
36,12.0,1375.0,-29.616161616161612,1204.0
37,12.0,1268.0,-18.80808080808081,1204.0
38,12.0,1327.0,-24.767676767676768,1204.0
39,13.0,1333.0,-25.37373737373737,1204.0
