,episode,make_span,reward,no-op
0,0.0,2224.0,131.83838383838383,0.0
1,0.0,2283.0,122.89898989898998,0.0
2,0.0,2180.0,138.50505050505052,0.0
3,1.0,2257.0,126.83838383838392,0.0
4,1.0,2340.0,114.26262626262606,0.0
5,1.0,2261.0,126.23232323232318,0.0
6,2.0,2166.0,140.62626262626256,0.0
7,2.0,2317.0,117.74747474747463,0.0
8,2.0,2249.0,128.050505050505,0.0
9,3.0,2218.0,132.7474747474748,0.0
10,3.0,2320.0,117.29292929292936,0.0
11,3.0,2271.0,124.71717171717178,0.0
12,4.0,2314.0,118.20202020202021,0.0
13,4.0,2256.0,126.98989898989899,0.0
14,4.0,2318.0,117.59595959595954,0.0
15,5.0,2195.0,136.23232323232335,0.0
16,5.0,2270.0,124.86868686868695,0.0
17,5.0,2247.0,128.35353535353534,0.0
18,6.0,2313.0,118.35353535353529,0.0
19,6.0,2281.0,123.20202020201998,0.0
20,6.0,2181.0,138.35353535353525,0.0
21,7.0,2226.0,131.53535353535344,0.0
22,7.0,2167.0,140.47474747474746,0.0
23,7.0,2205.0,134.7171717171716,0.0
24,8.0,2215.0,133.20202020202035,0.0
25,8.0,2293.0,121.38383838383837,0.0
26,8.0,2223.0,131.98989898989902,0.0
27,9.0,2192.0,136.68686868686862,0.0
28,9.0,2342.0,113.95959595959613,0.0
29,9.0,2193.0,136.5353535353534,0.0
30,10.0,2254.0,127.29292929292926,0.0
31,10.0,2280.0,123.35353535353536,0.0
32,10.0,2240.0,129.41414141414126,0.0
33,11.0,2228.0,131.2323232323233,0.0
34,11.0,2211.0,133.80808080808066,0.0
35,11.0,2257.0,126.83838383838383,0.0
36,12.0,2279.0,123.50505050505058,0.0
37,12.0,2219.0,132.59595959595958,0.0
38,12.0,2281.0,123.2020202020202,0.0
39,13.0,2205.0,134.71717171717177,0.0
40,13.0,2261.0,126.23232323232324,0.0
41,13.0,2098.0,150.92929292929279,0.0
42,14.0,2234.0,130.32323232323233,0.0
43,14.0,2155.0,142.29292929292913,0.0
44,14.0,2275.0,124.11111111111133,0.0
45,15.0,2211.0,133.80808080808092,0.0
46,15.0,2127.0,146.53535353535347,0.0
47,15.0,2289.0,121.98989898989885,0.0
48,16.0,2182.0,138.2020202020201,0.0
49,16.0,2219.0,132.59595959595958,0.0
50,16.0,2306.0,119.41414141414151,0.0
51,17.0,2225.0,131.68686868686888,0.0
52,17.0,2201.0,135.3232323232321,0.0
53,17.0,2198.0,135.777777777778,0.0
54,18.0,2191.0,136.83838383838375,0.0
55,18.0,2200.0,135.47474747474755,0.0
56,18.0,2169.0,140.17171717171718,0.0
57,19.0,2143.0,144.11111111111128,0.0
58,19.0,2210.0,133.9595959595961,0.0
59,19.0,2276.0,123.95959595959582,0.0
60,20.0,2176.0,139.11111111111126,0.0
61,20.0,2198.0,135.77777777777774,0.0
62,20.0,2173.0,139.56565656565658,0.0
63,21.0,2210.0,133.95959595959602,0.0
64,21.0,2275.0,124.11111111111133,0.0
65,21.0,2252.0,127.59595959595949,0.0
66,22.0,2221.0,132.29292929292924,0.0
67,22.0,2205.0,134.7171717171718,0.0
68,22.0,2214.0,133.35353535353536,0.0
69,23.0,2255.0,127.14141414141419,0.0
70,23.0,2231.0,130.7777777777778,0.0
71,23.0,2266.0,125.47474747474742,0.0
72,24.0,2300.0,120.32323232323239,0.0
73,24.0,2131.0,145.92929292929293,0.0
74,24.0,2183.0,138.05050505050497,0.0
75,25.0,2270.0,124.8686868686868,0.0
76,25.0,2184.0,137.89898989898987,0.0
77,25.0,2168.0,140.32323232323233,0.0
78,26.0,2188.0,137.2929292929293,0.0
79,26.0,2247.0,128.35353535353542,0.0
80,26.0,2254.0,127.29292929292934,0.0
81,27.0,2258.0,126.68686868686862,0.0
82,27.0,2189.0,137.14141414141423,0.0
83,27.0,2226.0,131.53535353535344,0.0
84,28.0,2232.0,130.62626262626267,0.0
85,28.0,2169.0,140.17171717171712,0.0
86,28.0,2177.0,138.9595959595959,0.0
87,29.0,2313.0,118.35353535353543,0.0
88,29.0,2230.0,130.92929292929296,0.0
89,29.0,2173.0,139.5656565656565,0.0
90,30.0,2214.0,133.35353535353516,0.0
91,30.0,2285.0,122.59595959595956,0.0
92,30.0,2124.0,146.9898989898989,0.0
93,31.0,2217.0,132.8989898989899,0.0
94,31.0,2245.0,128.65656565656556,0.0
95,31.0,2265.0,125.6262626262626,0.0
96,32.0,2388.0,106.98989898989902,0.0
97,32.0,2204.0,134.86868686868675,0.0
98,32.0,2199.0,135.62626262626264,0.0
99,33.0,2295.0,121.08080808080821,0.0
100,33.0,2243.0,128.95959595959604,0.0
101,33.0,2123.0,147.14141414141406,0.0
102,34.0,2240.0,129.41414141414145,0.0
103,34.0,2207.0,134.41414141414137,0.0
104,34.0,2296.0,120.92929292929287,0.0
