,episode,make_span,reward,min make span
0,0.0,3416.0,-178.10101010101027,3416.0
1,0.0,3402.0,-173.15151515151516,3402.0
2,0.0,3338.0,-150.52525252525257,3338.0
3,1.0,3434.0,-184.46464646464656,3338.0
4,1.0,3305.0,-138.85858585858588,3305.0
5,1.0,3385.0,-167.1414141414142,3305.0
6,2.0,3400.0,-172.44444444444446,3305.0
7,2.0,3331.0,-148.05050505050505,3305.0
8,2.0,3378.0,-164.66666666666663,3305.0
9,3.0,3326.0,-146.28282828282823,3305.0
10,3.0,3411.0,-176.33333333333331,3305.0
11,3.0,3305.0,-138.85858585858583,3305.0
12,4.0,3429.0,-182.6969696969695,3305.0
13,4.0,3378.0,-164.6666666666667,3305.0
14,4.0,3346.0,-153.3535353535354,3305.0
15,5.0,3384.0,-166.78787878787875,3305.0
16,5.0,3416.0,-178.10101010101022,3305.0
17,5.0,3388.0,-168.2020202020202,3305.0
18,6.0,3358.0,-157.59595959595964,3305.0
19,6.0,3264.0,-124.36363636363646,3264.0
20,6.0,3371.0,-162.19191919191923,3264.0
21,7.0,3315.0,-142.3939393939393,3264.0
22,7.0,3409.0,-175.62626262626264,3264.0
23,7.0,3294.0,-134.969696969697,3264.0
24,8.0,3404.0,-173.8585858585859,3264.0
25,8.0,3290.0,-133.55555555555551,3264.0
26,8.0,3372.0,-162.54545454545453,3264.0
27,9.0,3297.0,-136.030303030303,3264.0
28,9.0,3330.0,-147.69696969696966,3264.0
29,9.0,3289.0,-133.2020202020202,3264.0
30,10.0,3352.0,-155.47474747474746,3264.0
31,10.0,3378.0,-164.6666666666667,3264.0
32,10.0,3363.0,-159.3636363636363,3264.0
33,11.0,3378.0,-164.66666666666669,3264.0
34,11.0,3361.0,-158.6565656565657,3264.0
35,11.0,3305.0,-138.85858585858583,3264.0
36,12.0,3396.0,-171.030303030303,3264.0
37,12.0,3417.0,-178.45454545454544,3264.0
38,12.0,3436.0,-185.17171717171712,3264.0
39,13.0,3373.0,-162.89898989898987,3264.0
40,13.0,3329.0,-147.34343434343438,3264.0
41,13.0,3427.0,-181.98989898989893,3264.0
42,14.0,3414.0,-177.3939393939394,3264.0
43,14.0,3276.0,-128.60606060606057,3264.0
44,14.0,3289.0,-133.20202020202018,3264.0
45,15.0,3308.0,-139.91919191919192,3264.0
46,15.0,3434.0,-184.46464646464645,3264.0
47,15.0,3369.0,-161.4848484848485,3264.0
48,16.0,3420.0,-179.51515151515156,3264.0
49,16.0,3385.0,-167.14141414141415,3264.0
50,16.0,3346.0,-153.35353535353534,3264.0
51,17.0,3352.0,-155.47474747474755,3264.0
52,17.0,3298.0,-136.38383838383828,3264.0
53,17.0,3284.0,-131.43434343434345,3264.0
54,18.0,3415.0,-177.74747474747466,3264.0
55,18.0,3368.0,-161.13131313131325,3264.0
56,18.0,3337.0,-150.17171717171718,3264.0
57,19.0,3344.0,-152.64646464646466,3264.0
58,19.0,3406.0,-174.56565656565652,3264.0
59,19.0,3284.0,-131.43434343434336,3264.0
60,20.0,3360.0,-158.30303030303025,3264.0
61,20.0,3249.0,-119.06060606060603,3249.0
62,20.0,3326.0,-146.2828282828283,3249.0
63,21.0,3295.0,-135.32323232323236,3249.0
64,21.0,3248.0,-118.70707070707067,3248.0
65,21.0,3263.0,-124.01010101010095,3248.0
66,22.0,3337.0,-150.17171717171726,3248.0
67,22.0,3337.0,-150.17171717171715,3248.0
68,22.0,3296.0,-135.6767676767677,3248.0
69,23.0,3308.0,-139.91919191919203,3248.0
70,23.0,3353.0,-155.8282828282828,3248.0
71,23.0,3400.0,-172.44444444444437,3248.0
72,24.0,3369.0,-161.4848484848484,3248.0
73,24.0,3313.0,-141.6868686868687,3248.0
74,24.0,3369.0,-161.48484848484853,3248.0
75,25.0,3308.0,-139.91919191919192,3248.0
76,25.0,3402.0,-173.15151515151518,3248.0
77,25.0,3226.0,-110.92929292929287,3226.0
78,26.0,3304.0,-138.5050505050506,3226.0
79,26.0,3413.0,-177.04040404040393,3226.0
80,26.0,3285.0,-131.7878787878787,3226.0
81,27.0,3393.0,-169.9696969696969,3226.0
82,27.0,3241.0,-116.23232323232322,3226.0
83,27.0,3332.0,-148.40404040404027,3226.0
84,28.0,3433.0,-184.11111111111106,3226.0
85,28.0,3284.0,-131.43434343434348,3226.0
86,28.0,3312.0,-141.33333333333334,3226.0
87,29.0,3348.0,-154.06060606060603,3226.0
88,29.0,3323.0,-145.22222222222234,3226.0
89,29.0,3358.0,-157.59595959595944,3226.0
90,30.0,3342.0,-151.93939393939394,3226.0
91,30.0,3426.0,-181.6363636363636,3226.0
92,30.0,3312.0,-141.33333333333323,3226.0
93,31.0,3315.0,-142.39393939393938,3226.0
94,31.0,3294.0,-134.969696969697,3226.0
95,31.0,3318.0,-143.45454545454547,3226.0
96,32.0,3258.0,-122.2424242424242,3226.0
97,32.0,3382.0,-166.080808080808,3226.0
98,32.0,3245.0,-117.64646464646466,3226.0
99,33.0,3312.0,-141.33333333333337,3226.0
100,33.0,3348.0,-154.06060606060603,3226.0
101,33.0,3284.0,-131.4343434343434,3226.0
102,34.0,3271.0,-126.83838383838389,3226.0
103,34.0,3280.0,-130.02020202020196,3226.0
104,34.0,3355.0,-156.5353535353536,3226.0
105,35.0,3344.0,-152.6464646464646,3226.0
106,35.0,3281.0,-130.37373737373736,3226.0
107,35.0,3240.0,-115.87878787878786,3226.0
108,36.0,3258.0,-122.24242424242419,3226.0
109,36.0,3288.0,-132.84848484848484,3226.0
110,36.0,3284.0,-131.43434343434336,3226.0
111,37.0,3280.0,-130.02020202020196,3226.0
112,37.0,3292.0,-134.2626262626262,3226.0
113,37.0,3395.0,-170.67676767676767,3226.0
114,38.0,3343.0,-152.29292929292924,3226.0
115,38.0,3302.0,-137.7979797979797,3226.0
116,38.0,3357.0,-157.24242424242433,3226.0
117,39.0,3380.0,-165.37373737373733,3226.0
118,39.0,3344.0,-152.64646464646458,3226.0
119,39.0,3466.0,-195.77777777777774,3226.0
120,40.0,3294.0,-134.96969696969688,3226.0
121,40.0,3305.0,-138.8585858585858,3226.0
122,40.0,3298.0,-136.38383838383837,3226.0
123,41.0,3256.0,-121.53535353535358,3226.0
124,41.0,3269.0,-126.13131313131316,3226.0
125,41.0,3350.0,-154.76767676767673,3226.0
126,42.0,3253.0,-120.4747474747474,3226.0
127,42.0,3352.0,-155.47474747474755,3226.0
128,42.0,3298.0,-136.3838383838384,3226.0
129,43.0,3232.0,-113.05050505050501,3226.0
130,43.0,3315.0,-142.39393939393938,3226.0
131,43.0,3335.0,-149.46464646464645,3226.0
132,44.0,3315.0,-142.3939393939394,3226.0
133,44.0,3329.0,-147.34343434343427,3226.0
134,44.0,3322.0,-144.86868686868692,3226.0
135,45.0,3286.0,-132.1414141414141,3226.0
136,45.0,3264.0,-124.36363636363639,3226.0
137,45.0,3383.0,-166.43434343434336,3226.0
138,46.0,3287.0,-132.49494949494948,3226.0
139,46.0,3243.0,-116.93939393939391,3226.0
140,46.0,3284.0,-131.43434343434342,3226.0
141,47.0,3393.0,-169.96969696969686,3226.0
142,47.0,3276.0,-128.60606060606065,3226.0
143,47.0,3256.0,-121.5353535353535,3226.0
144,48.0,3341.0,-151.58585858585863,3226.0
145,48.0,3261.0,-123.30303030303028,3226.0
146,48.0,3231.0,-112.69696969696977,3226.0
147,49.0,3358.0,-157.59595959595956,3226.0
148,49.0,3268.0,-125.77777777777769,3226.0
149,49.0,3292.0,-134.26262626262624,3226.0
150,50.0,3299.0,-136.73737373737376,3226.0
151,50.0,3276.0,-128.60606060606062,3226.0
152,50.0,3364.0,-159.71717171717165,3226.0
153,51.0,3317.0,-143.10101010101005,3226.0
154,51.0,3304.0,-138.50505050505043,3226.0
155,51.0,3283.0,-131.08080808080803,3226.0
156,52.0,3340.0,-151.2323232323232,3226.0
157,52.0,3436.0,-185.17171717171703,3226.0
158,52.0,3252.0,-120.12121212121204,3226.0
159,53.0,3266.0,-125.0707070707071,3226.0
160,53.0,3364.0,-159.71717171717162,3226.0
161,53.0,3261.0,-123.30303030303031,3226.0
162,54.0,3372.0,-162.5454545454546,3226.0
163,54.0,3365.0,-160.07070707070702,3226.0
164,54.0,3318.0,-143.45454545454544,3226.0
165,55.0,3262.0,-123.65656565656573,3226.0
166,55.0,3304.0,-138.50505050505046,3226.0
167,55.0,3296.0,-135.67676767676772,3226.0
168,56.0,3296.0,-135.6767676767677,3226.0
169,56.0,3273.0,-127.5454545454545,3226.0
170,56.0,3256.0,-121.53535353535348,3226.0
171,57.0,3408.0,-175.27272727272725,3226.0
172,57.0,3358.0,-157.59595959595958,3226.0
173,57.0,3393.0,-169.96969696969697,3226.0
174,58.0,3314.0,-142.04040404040407,3226.0
175,58.0,3377.0,-164.3131313131313,3226.0
176,58.0,3282.0,-130.72727272727272,3226.0
177,59.0,3353.0,-155.8282828282828,3226.0
178,59.0,3348.0,-154.0606060606061,3226.0
179,59.0,3213.0,-106.33333333333334,3213.0
180,60.0,3325.0,-145.9292929292929,3213.0
181,60.0,3276.0,-128.6060606060606,3213.0
182,60.0,3294.0,-134.96969696969694,3213.0
183,61.0,3273.0,-127.54545454545459,3213.0
184,61.0,3336.0,-149.81818181818178,3213.0
185,61.0,3399.0,-172.09090909090924,3213.0
186,62.0,3269.0,-126.13131313131318,3213.0
187,62.0,3237.0,-114.8181818181818,3213.0
188,62.0,3306.0,-139.21212121212113,3213.0
189,63.0,3225.0,-110.57575757575756,3213.0
190,63.0,3260.0,-122.94949494949489,3213.0
191,63.0,3360.0,-158.30303030303025,3213.0
192,64.0,3375.0,-163.60606060606054,3213.0
193,64.0,3266.0,-125.07070707070704,3213.0
194,64.0,3327.0,-146.6363636363636,3213.0
195,65.0,3378.0,-164.66666666666652,3213.0
196,65.0,3185.0,-96.43434343434345,3185.0
197,65.0,3364.0,-159.71717171717168,3185.0
198,66.0,3240.0,-115.87878787878782,3185.0
199,66.0,3348.0,-154.06060606060598,3185.0
200,66.0,3301.0,-137.44444444444434,3185.0
201,67.0,3247.0,-118.35353535353529,3185.0
202,67.0,3329.0,-147.34343434343432,3185.0
203,67.0,3354.0,-156.18181818181807,3185.0
204,68.0,3306.0,-139.21212121212125,3185.0
205,68.0,3276.0,-128.60606060606057,3185.0
206,68.0,3203.0,-102.79797979797985,3185.0
207,69.0,3334.0,-149.11111111111103,3185.0
208,69.0,3286.0,-132.14141414141412,3185.0
209,69.0,3276.0,-128.60606060606057,3185.0
210,70.0,3302.0,-137.79797979797982,3185.0
211,70.0,3312.0,-141.33333333333337,3185.0
212,70.0,3290.0,-133.55555555555551,3185.0
213,71.0,3254.0,-120.82828282828284,3185.0
214,71.0,3348.0,-154.06060606060618,3185.0
215,71.0,3351.0,-155.12121212121207,3185.0
216,72.0,3307.0,-139.56565656565658,3185.0
217,72.0,3382.0,-166.0808080808081,3185.0
218,72.0,3340.0,-151.23232323232324,3185.0
219,73.0,3313.0,-141.6868686868687,3185.0
220,73.0,3225.0,-110.57575757575762,3185.0
221,73.0,3262.0,-123.65656565656566,3185.0
222,74.0,3334.0,-149.1111111111111,3185.0
223,74.0,3355.0,-156.53535353535355,3185.0
224,74.0,3297.0,-136.030303030303,3185.0
