,episode,make_span,reward,min make span
0,0.0,3403.0,-173.5050505050506,3403.0
1,0.0,3277.0,-128.95959595959604,3277.0
2,0.0,3377.0,-164.3131313131314,3277.0
3,1.0,3268.0,-125.7777777777778,3268.0
4,1.0,3364.0,-159.71717171717182,3268.0
5,1.0,3319.0,-143.80808080808077,3268.0
6,2.0,3370.0,-161.8383838383838,3268.0
7,2.0,3408.0,-175.2727272727272,3268.0
8,2.0,3376.0,-163.95959595959596,3268.0
9,3.0,3384.0,-166.78787878787875,3268.0
10,3.0,3362.0,-159.01010101010098,3268.0
11,3.0,3369.0,-161.48484848484847,3268.0
12,4.0,3325.0,-145.92929292929298,3268.0
13,4.0,3366.0,-160.4242424242424,3268.0
14,4.0,3372.0,-162.54545454545448,3268.0
15,5.0,3361.0,-158.6565656565657,3268.0
16,5.0,3319.0,-143.80808080808072,3268.0
17,5.0,3396.0,-171.0303030303031,3268.0
18,6.0,3462.0,-194.36363636363632,3268.0
19,6.0,3317.0,-143.10101010101008,3268.0
20,6.0,3316.0,-142.74747474747488,3268.0
21,7.0,3367.0,-160.7777777777777,3268.0
22,7.0,3253.0,-120.47474747474749,3253.0
23,7.0,3413.0,-177.04040404040398,3253.0
24,8.0,3292.0,-134.26262626262613,3253.0
25,8.0,3387.0,-167.84848484848465,3253.0
26,8.0,3330.0,-147.69696969696975,3253.0
27,9.0,3365.0,-160.07070707070716,3253.0
28,9.0,3449.0,-189.76767676767676,3253.0
29,9.0,3341.0,-151.5858585858585,3253.0
30,10.0,3443.0,-187.64646464646455,3253.0
31,10.0,3352.0,-155.47474747474755,3253.0
32,10.0,3293.0,-134.61616161616163,3253.0
33,11.0,3306.0,-139.2121212121212,3253.0
34,11.0,3355.0,-156.5353535353534,3253.0
35,11.0,3379.0,-165.0202020202021,3253.0
36,12.0,3415.0,-177.74747474747488,3253.0
37,12.0,3304.0,-138.50505050505058,3253.0
38,12.0,3318.0,-143.4545454545454,3253.0
39,13.0,3407.0,-174.919191919192,3253.0
40,13.0,3358.0,-157.59595959595953,3253.0
41,13.0,3296.0,-135.67676767676764,3253.0
42,14.0,3376.0,-163.95959595959602,3253.0
43,14.0,3406.0,-174.5656565656565,3253.0
44,14.0,3370.0,-161.83838383838375,3253.0
45,15.0,3218.0,-108.10101010101006,3218.0
46,15.0,3324.0,-145.57575757575754,3218.0
47,15.0,3332.0,-148.40404040404056,3218.0
48,16.0,3453.0,-191.18181818181824,3218.0
49,16.0,3265.0,-124.71717171717174,3218.0
50,16.0,3293.0,-134.61616161616158,3218.0
51,17.0,3401.0,-172.79797979797996,3218.0
52,17.0,3333.0,-148.75757575757578,3218.0
53,17.0,3252.0,-120.1212121212121,3218.0
54,18.0,3308.0,-139.91919191919192,3218.0
55,18.0,3343.0,-152.29292929292922,3218.0
56,18.0,3369.0,-161.4848484848485,3218.0
57,19.0,3372.0,-162.5454545454546,3218.0
58,19.0,3484.0,-202.14141414141403,3218.0
59,19.0,3324.0,-145.57575757575754,3218.0
60,20.0,3389.0,-168.55555555555551,3218.0
61,20.0,3317.0,-143.1010101010101,3218.0
62,20.0,3386.0,-167.4949494949495,3218.0
63,21.0,3370.0,-161.83838383838383,3218.0
64,21.0,3364.0,-159.7171717171716,3218.0
65,21.0,3370.0,-161.83838383838395,3218.0
66,22.0,3316.0,-142.74747474747485,3218.0
67,22.0,3329.0,-147.3434343434343,3218.0
68,22.0,3360.0,-158.30303030303028,3218.0
69,23.0,3351.0,-155.12121212121218,3218.0
70,23.0,3307.0,-139.5656565656565,3218.0
71,23.0,3392.0,-169.61616161616158,3218.0
72,24.0,3262.0,-123.65656565656569,3218.0
73,24.0,3401.0,-172.7979797979799,3218.0
74,24.0,3257.0,-121.88888888888886,3218.0
75,25.0,3313.0,-141.68686868686868,3218.0
76,25.0,3320.0,-144.16161616161614,3218.0
77,25.0,3297.0,-136.0303030303031,3218.0
78,26.0,3272.0,-127.19191919191917,3218.0
79,26.0,3309.0,-140.27272727272725,3218.0
80,26.0,3298.0,-136.38383838383842,3218.0
81,27.0,3360.0,-158.30303030303025,3218.0
82,27.0,3273.0,-127.54545454545455,3218.0
83,27.0,3395.0,-170.67676767676775,3218.0
84,28.0,3235.0,-114.11111111111109,3218.0
85,28.0,3281.0,-130.37373737373736,3218.0
86,28.0,3355.0,-156.5353535353535,3218.0
87,29.0,3310.0,-140.62626262626276,3218.0
88,29.0,3363.0,-159.3636363636364,3218.0
89,29.0,3331.0,-148.05050505050502,3218.0
90,30.0,3256.0,-121.53535353535356,3218.0
91,30.0,3353.0,-155.82828282828282,3218.0
92,30.0,3339.0,-150.87878787878796,3218.0
93,31.0,3327.0,-146.63636363636354,3218.0
94,31.0,3321.0,-144.51515151515153,3218.0
95,31.0,3310.0,-140.62626262626264,3218.0
96,32.0,3307.0,-139.56565656565655,3218.0
97,32.0,3316.0,-142.74747474747466,3218.0
98,32.0,3378.0,-164.66666666666654,3218.0
99,33.0,3315.0,-142.39393939393935,3218.0
100,33.0,3268.0,-125.77777777777777,3218.0
101,33.0,3345.0,-152.99999999999994,3218.0
102,34.0,3255.0,-121.18181818181813,3218.0
103,34.0,3263.0,-124.010101010101,3218.0
104,34.0,3277.0,-128.95959595959596,3218.0
105,35.0,3271.0,-126.83838383838378,3218.0
106,35.0,3268.0,-125.77777777777781,3218.0
107,35.0,3347.0,-153.7070707070707,3218.0
108,36.0,3341.0,-151.58585858585852,3218.0
109,36.0,3360.0,-158.30303030303025,3218.0
110,36.0,3340.0,-151.23232323232315,3218.0
111,37.0,3347.0,-153.7070707070707,3218.0
112,37.0,3322.0,-144.86868686868684,3218.0
113,37.0,3310.0,-140.6262626262627,3218.0
114,38.0,3245.0,-117.64646464646457,3218.0
115,38.0,3289.0,-133.2020202020202,3218.0
116,38.0,3329.0,-147.34343434343444,3218.0
117,39.0,3317.0,-143.1010101010101,3218.0
118,39.0,3292.0,-134.2626262626261,3218.0
119,39.0,3217.0,-107.74747474747473,3217.0
120,40.0,3313.0,-141.68686868686865,3217.0
121,40.0,3267.0,-125.4242424242425,3217.0
122,40.0,3268.0,-125.77777777777784,3217.0
123,41.0,3374.0,-163.25252525252526,3217.0
124,41.0,3298.0,-136.38383838383837,3217.0
125,41.0,3284.0,-131.43434343434342,3217.0
126,42.0,3290.0,-133.55555555555563,3217.0
127,42.0,3401.0,-172.79797979797985,3217.0
128,42.0,3320.0,-144.16161616161614,3217.0
129,43.0,3325.0,-145.9292929292928,3217.0
130,43.0,3308.0,-139.91919191919192,3217.0
131,43.0,3295.0,-135.32323232323233,3217.0
132,44.0,3312.0,-141.33333333333334,3217.0
133,44.0,3339.0,-150.8787878787879,3217.0
134,44.0,3365.0,-160.07070707070716,3217.0
135,45.0,3293.0,-134.61616161616163,3217.0
136,45.0,3263.0,-124.01010101010102,3217.0
137,45.0,3488.0,-203.55555555555566,3217.0
138,46.0,3365.0,-160.070707070707,3217.0
139,46.0,3279.0,-129.66666666666657,3217.0
140,46.0,3354.0,-156.18181818181813,3217.0
141,47.0,3296.0,-135.67676767676767,3217.0
142,47.0,3303.0,-138.1515151515152,3217.0
143,47.0,3385.0,-167.14141414141417,3217.0
144,48.0,3344.0,-152.64646464646455,3217.0
145,48.0,3243.0,-116.93939393939391,3217.0
146,48.0,3362.0,-159.01010101010095,3217.0
147,49.0,3317.0,-143.10101010101025,3217.0
148,49.0,3320.0,-144.1616161616161,3217.0
149,49.0,3394.0,-170.3232323232323,3217.0
150,50.0,3292.0,-134.26262626262627,3217.0
151,50.0,3257.0,-121.8888888888889,3217.0
152,50.0,3384.0,-166.78787878787875,3217.0
153,51.0,3219.0,-108.4545454545454,3217.0
154,51.0,3254.0,-120.82828282828281,3217.0
155,51.0,3302.0,-137.79797979797976,3217.0
156,52.0,3300.0,-137.0909090909091,3217.0
157,52.0,3286.0,-132.14141414141415,3217.0
158,52.0,3310.0,-140.62626262626267,3217.0
159,53.0,3192.0,-98.9090909090909,3192.0
160,53.0,3335.0,-149.4646464646464,3192.0
161,53.0,3278.0,-129.3131313131313,3192.0
162,54.0,3260.0,-122.94949494949498,3192.0
163,54.0,3265.0,-124.71717171717162,3192.0
164,54.0,3270.0,-126.48484848484841,3192.0
