,reused-gen_time,converge_cnt,total_time,no-op
ft10_100_1,1046.0,764.0,68.22943234443665,0.0
ft10_100_2,1042.0,56.0,5.36949896812439,0.0
ft10_100_3,1079.0,188.0,17.302254676818848,0.0
ft10_25_1,1042.0,29.0,2.7891104221343994,0.0
ft10_25_2,1080.0,272.0,25.5332453250885,0.0
ft10_25_3,1061.0,455.0,42.287081718444824,0.0
ft10_50_1,1045.0,74.0,7.084628105163574,0.0
ft10_50_2,1063.0,155.0,14.457656145095825,0.0
ft10_50_3,1051.0,776.0,73.33792781829834,0.0
ft10_75_1,1049.0,47.0,4.470517873764038,0.0
ft10_75_2,1063.0,275.0,24.978357315063477,0.0
ft10_75_3,1045.0,431.0,40.68583965301514,0.0
la21_100_1,1147.0,1064.0,135.61957430839539,0.0
la21_100_2,1171.0,260.0,33.388795137405396,0.0
la21_100_3,1168.0,779.0,99.14296221733093,0.0
la21_25_1,1145.0,590.0,77.29543113708496,0.0
la21_25_2,1152.0,179.0,23.221590518951416,0.0
la21_25_3,1167.0,497.0,67.01654958724976,0.0
la21_50_1,1138.0,1844.0,242.3792860507965,0.0
la21_50_2,1139.0,971.0,128.98315119743347,0.0
la21_50_3,1148.0,1262.0,165.44658946990967,0.0
la21_75_1,1144.0,2144.0,278.7268478870392,0.0
la21_75_2,1154.0,242.0,32.860032081604004,0.0
la21_75_3,1131.0,1295.0,171.55406022071838,0.0
la26_100_1,1281.0,1130.0,190.67995858192444,0.0
la26_100_2,1302.0,848.0,141.42394733428955,0.0
la26_100_3,1321.0,1991.0,325.21518754959106,0.0
la26_25_1,1281.0,2261.0,357.61578035354614,0.0
la26_25_2,1309.0,2447.0,379.7769651412964,0.0
la26_25_3,1293.0,2270.0,345.80971598625183,0.0
la26_50_1,1304.0,617.0,94.34767866134644,0.0
la26_50_2,1294.0,674.0,102.41960859298706,0.0
la26_50_3,1302.0,1268.0,194.07192468643188,0.0
la26_75_1,1290.0,557.0,87.48349475860596,0.0
la26_75_2,1296.0,1583.0,241.82493543624878,0.0
la26_75_3,1320.0,506.0,77.00751328468323,0.0
la31_100_1,1788.0,1487.0,333.64750623703003,0.0
la31_100_2,1796.0,239.0,54.10849070549011,0.0
la31_100_3,1777.0,1937.0,433.520476102829,0.0
la31_25_1,1787.0,854.0,193.65829420089722,0.0
la31_25_2,1797.0,335.0,75.65347337722778,0.0
la31_25_3,1788.0,80.0,18.341771125793457,0.0
la31_50_1,1787.0,194.0,44.39672899246216,0.0
la31_50_2,1785.0,737.0,166.82697367668152,0.0
la31_50_3,1779.0,461.0,104.29954767227173,0.0
la31_75_1,1789.0,1709.0,385.3585693836212,0.0
la31_75_2,1792.0,374.0,84.97328495979309,0.0
la31_75_3,1778.0,2036.0,460.9016766548157,0.0
ta21_100_1,1859.0,1163.0,320.8196613788605,0.0
ta21_100_2,1855.0,1319.0,356.0893452167511,0.0
ta21_100_3,1883.0,1349.0,365.72205114364624,0.0
ta21_25_1,1802.0,824.0,225.82879400253296,0.0
ta21_25_2,1854.0,506.0,137.19158387184143,0.0
ta21_25_3,1859.0,2894.0,788.2014281749725,0.0
ta21_50_1,1812.0,761.0,205.8156282901764,0.0
ta21_50_2,1876.0,686.0,188.3356683254242,0.0
ta21_50_3,1851.0,2138.0,586.8824398517609,0.0
ta21_75_1,1830.0,752.0,206.49704003334045,0.0
ta21_75_2,1818.0,314.0,86.13258266448975,0.0
ta21_75_3,1859.0,1418.0,390.17671751976013,0.0
ta41_100_1,2364.0,5762.0,2373.2612957954407,0.0
ta41_100_2,2356.0,2444.0,1032.8165457248688,0.0
ta41_100_3,2331.0,5999.0,2487.9027438163757,0.0
ta41_25_1,2339.0,5999.0,2475.418506383896,0.0
ta41_25_2,2347.0,5804.0,2769.6338896751404,0.0
ta41_25_3,2337.0,5234.0,3601.1755278110504,0.0
ta41_50_1,2352.0,4718.0,2914.1919634342194,0.0
ta41_50_2,2339.0,2393.0,1473.307523727417,0.0
ta41_50_3,2365.0,4967.0,3049.5828936100006,0.0
ta41_75_1,2389.0,3272.0,2021.4735188484192,0.0
ta41_75_2,2350.0,3455.0,2129.6619911193848,0.0
ta41_75_3,2385.0,2258.0,1393.0035467147827,0.0
