,simple-gen_order,converge_cnt,total_time,no-op
ft10_20,984.0,1280.0,157.45471262931824,0.0
ft10_40,906.0,1121.0,136.7911021709442,0.0
ft10_60,974.0,557.0,65.34728598594666,0.0
ft10_80,908.0,623.0,73.46503400802612,0.0
la21_20,1164.0,1709.0,271.53256726264954,0.0
la21_40,1120.0,1625.0,254.3675582408905,0.0
la21_60,1150.0,2042.0,312.64053320884705,0.0
la21_80,1228.0,1994.0,308.92997765541077,0.0
la26_20,1279.0,2636.0,519.7777664661407,0.0
la26_40,1395.0,2897.0,561.8523108959198,0.0
la26_60,1324.0,2537.0,499.43121099472046,0.0
la26_80,1276.0,3077.0,573.8685898780823,0.0
la31_20,1784.0,4640.0,1038.4082984924316,0.0
la31_40,1784.0,668.0,149.62908601760864,0.0
la31_60,1930.0,2609.0,645.3756237030029,0.0
la31_80,1784.0,2675.0,861.2635381221771,0.0
ta21_20,1769.0,2306.0,784.2073934078217,0.0
ta21_40,1739.0,3947.0,1619.8950068950653,0.0
ta21_60,1740.0,2594.0,978.6220724582672,0.0
ta21_80,1764.0,4136.0,1575.6192274093628,0.0
ta41_20,2220.0,5999.0,3413.6600131988525,0.0
ta41_40,2183.0,5999.0,3324.5329084396362,0.0
ta41_60,2293.0,5999.0,3143.6556203365326,0.0
ta41_80,2144.0,5999.0,3136.6603837013245,0.0
