,episode,make_span,reward,no-op
0,0.0,1118.0,-9.717171717171716,0.0
1,0.0,1182.0,-16.181818181818183,0.0
2,0.0,1148.0,-12.747474747474751,0.0
3,1.0,1148.0,-12.747474747474747,0.0
4,1.0,1303.0,-28.4040404040404,0.0
5,1.0,1220.0,-20.02020202020202,0.0
6,2.0,1228.0,-20.82828282828283,0.0
7,2.0,1140.0,-11.939393939393941,0.0
8,2.0,1184.0,-16.38383838383839,0.0
9,3.0,1194.0,-17.39393939393939,0.0
10,3.0,1178.0,-15.777777777777775,0.0
11,3.0,1144.0,-12.343434343434339,0.0
12,4.0,1204.0,-18.404040404040405,0.0
13,4.0,1149.0,-12.848484848484853,0.0
14,4.0,1155.0,-13.454545454545457,0.0
15,5.0,1176.0,-15.575757575757578,0.0
16,5.0,1183.0,-16.282828282828284,0.0
17,5.0,1103.0,-8.202020202020202,0.0
18,6.0,1153.0,-13.25252525252525,0.0
19,6.0,1226.0,-20.626262626262623,0.0
20,6.0,1137.0,-11.636363636363633,0.0
21,7.0,1176.0,-15.575757575757578,0.0
22,7.0,1212.0,-19.21212121212121,0.0
23,7.0,1162.0,-14.16161616161616,0.0
24,8.0,1235.0,-21.535353535353533,0.0
25,8.0,1149.0,-12.848484848484851,0.0
26,8.0,1140.0,-11.939393939393941,0.0
27,9.0,1129.0,-10.828282828282827,0.0
28,9.0,1179.0,-15.87878787878788,0.0
29,9.0,1175.0,-15.474747474747476,0.0
30,10.0,1123.0,-10.222222222222221,0.0
31,10.0,1242.0,-22.24242424242425,0.0
32,10.0,1173.0,-15.27272727272727,0.0
33,11.0,1197.0,-17.696969696969695,0.0
34,11.0,1124.0,-10.323232323232324,0.0
35,11.0,1147.0,-12.646464646464647,0.0
36,12.0,1117.0,-9.616161616161616,0.0
37,12.0,1153.0,-13.252525252525254,0.0
38,12.0,1143.0,-12.242424242424246,0.0
39,13.0,1176.0,-15.575757575757574,0.0
40,13.0,1096.0,-7.494949494949493,0.0
41,13.0,1181.0,-16.08080808080808,0.0
42,14.0,1193.0,-17.29292929292929,0.0
43,14.0,1127.0,-10.626262626262623,0.0
44,14.0,1144.0,-12.343434343434348,0.0
45,15.0,1211.0,-19.111111111111114,0.0
46,15.0,1141.0,-12.040404040404047,0.0
47,15.0,1178.0,-15.777777777777771,0.0
48,16.0,1131.0,-11.03030303030303,0.0
49,16.0,1117.0,-9.616161616161618,0.0
50,16.0,1122.0,-10.121212121212121,0.0
51,17.0,1058.0,-3.6565656565656557,0.0
52,17.0,1240.0,-22.040404040404034,0.0
53,17.0,1177.0,-15.676767676767675,0.0
54,18.0,1104.0,-8.303030303030301,0.0
55,18.0,1192.0,-17.19191919191919,0.0
56,18.0,1131.0,-11.030303030303036,0.0
57,19.0,1131.0,-11.030303030303031,0.0
58,19.0,1201.0,-18.101010101010104,0.0
59,19.0,1092.0,-7.09090909090909,0.0
60,20.0,1081.0,-5.979797979797978,0.0
61,20.0,1059.0,-3.7575757575757542,0.0
62,20.0,1164.0,-14.363636363636363,0.0
63,21.0,1122.0,-10.121212121212121,0.0
64,21.0,1143.0,-12.242424242424244,0.0
65,21.0,1169.0,-14.868686868686876,0.0
66,22.0,1219.0,-19.91919191919192,0.0
67,22.0,1114.0,-9.313131313131315,0.0
68,22.0,1128.0,-10.727272727272725,0.0
69,23.0,1128.0,-10.727272727272727,0.0
70,23.0,1106.0,-8.505050505050505,0.0
71,23.0,1106.0,-8.505050505050507,0.0
72,24.0,1099.0,-7.797979797979796,0.0
73,24.0,1136.0,-11.535353535353538,0.0
74,24.0,1123.0,-10.22222222222221,0.0
75,25.0,1096.0,-7.4949494949494975,0.0
76,25.0,1147.0,-12.646464646464645,0.0
77,25.0,1188.0,-16.787878787878785,0.0
78,26.0,1116.0,-9.515151515151516,0.0
79,26.0,1076.0,-5.474747474747476,0.0
80,26.0,1125.0,-10.424242424242422,0.0
81,27.0,1138.0,-11.737373737373735,0.0
82,27.0,1083.0,-6.1818181818181825,0.0
83,27.0,1110.0,-8.909090909090908,0.0
84,28.0,1112.0,-9.111111111111109,0.0
85,28.0,1202.0,-18.202020202020186,0.0
86,28.0,1134.0,-11.333333333333334,0.0
87,29.0,1172.0,-15.17171717171717,0.0
88,29.0,1171.0,-15.070707070707073,0.0
89,29.0,1150.0,-12.949494949494948,0.0
90,30.0,1149.0,-12.84848484848485,0.0
91,30.0,1103.0,-8.202020202020199,0.0
92,30.0,1112.0,-9.11111111111111,0.0
93,31.0,1187.0,-16.68686868686869,0.0
94,31.0,1113.0,-9.212121212121213,0.0
95,31.0,1059.0,-3.7575757575757605,0.0
96,32.0,1226.0,-20.626262626262626,0.0
97,32.0,1058.0,-3.6565656565656535,0.0
98,32.0,1091.0,-6.989898989898989,0.0
99,33.0,1118.0,-9.71717171717172,0.0
100,33.0,1088.0,-6.686868686868687,0.0
101,33.0,1104.0,-8.3030303030303,0.0
102,34.0,1074.0,-5.272727272727274,0.0
103,34.0,1093.0,-7.191919191919192,0.0
104,34.0,1118.0,-9.717171717171714,0.0
105,35.0,1157.0,-13.656565656565656,0.0
106,35.0,1112.0,-9.111111111111109,0.0
107,35.0,1144.0,-12.34343434343434,0.0
108,36.0,1105.0,-8.404040404040405,0.0
109,36.0,1110.0,-8.90909090909091,0.0
110,36.0,1113.0,-9.212121212121213,0.0
111,37.0,1156.0,-13.555555555555555,0.0
112,37.0,1162.0,-14.161616161616159,0.0
113,37.0,1064.0,-4.262626262626263,0.0
114,38.0,1139.0,-11.838383838383837,0.0
115,38.0,1114.0,-9.313131313131313,0.0
116,38.0,1106.0,-8.505050505050507,0.0
117,39.0,1117.0,-9.616161616161614,0.0
118,39.0,1099.0,-7.797979797979799,0.0
119,39.0,1114.0,-9.313131313131313,0.0
120,40.0,1067.0,-4.565656565656569,0.0
121,40.0,1068.0,-4.666666666666663,0.0
122,40.0,1057.0,-3.5555555555555562,0.0
123,41.0,1104.0,-8.303030303030301,0.0
124,41.0,1131.0,-11.030303030303031,0.0
125,41.0,1151.0,-13.050505050505052,0.0
126,42.0,1102.0,-8.101010101010099,0.0
127,42.0,1088.0,-6.686868686868686,0.0
128,42.0,1101.0,-8.0,0.0
129,43.0,1095.0,-7.393939393939396,0.0
130,43.0,1122.0,-10.121212121212121,0.0
131,43.0,1169.0,-14.868686868686863,0.0
132,44.0,1141.0,-12.04040404040404,0.0
133,44.0,1150.0,-12.949494949494948,0.0
134,44.0,1157.0,-13.656565656565654,0.0
135,45.0,1160.0,-13.959595959595958,0.0
136,45.0,1132.0,-11.131313131313133,0.0
137,45.0,1064.0,-4.262626262626257,0.0
138,46.0,1116.0,-9.515151515151512,0.0
139,46.0,1065.0,-4.3636363636363615,0.0
140,46.0,1138.0,-11.73737373737374,0.0
141,47.0,1080.0,-5.878787878787878,0.0
142,47.0,1131.0,-11.030303030303031,0.0
143,47.0,1153.0,-13.252525252525245,0.0
144,48.0,1187.0,-16.686868686868685,0.0
145,48.0,1154.0,-13.353535353535353,0.0
146,48.0,1071.0,-4.969696969696968,0.0
147,49.0,1104.0,-8.303030303030303,0.0
148,49.0,1127.0,-10.626262626262626,0.0
149,49.0,1071.0,-4.969696969696968,0.0
150,50.0,1143.0,-12.242424242424242,0.0
151,50.0,1112.0,-9.11111111111111,0.0
152,50.0,1110.0,-8.909090909090908,0.0
153,51.0,1075.0,-5.373737373737373,0.0
154,51.0,1112.0,-9.11111111111111,0.0
155,51.0,1104.0,-8.303030303030301,0.0
156,52.0,1065.0,-4.363636363636366,0.0
157,52.0,1123.0,-10.222222222222221,0.0
158,52.0,1117.0,-9.616161616161618,0.0
159,53.0,1096.0,-7.494949494949498,0.0
160,53.0,1114.0,-9.313131313131313,0.0
161,53.0,1139.0,-11.838383838383837,0.0
162,54.0,1150.0,-12.949494949494948,0.0
163,54.0,1104.0,-8.303030303030303,0.0
164,54.0,1056.0,-3.454545454545454,0.0
165,55.0,1082.0,-6.0808080808080796,0.0
166,55.0,1057.0,-3.5555555555555545,0.0
167,55.0,1134.0,-11.333333333333332,0.0
168,56.0,1086.0,-6.484848484848485,0.0
169,56.0,1122.0,-10.121212121212123,0.0
170,56.0,1109.0,-8.80808080808081,0.0
171,57.0,1076.0,-5.474747474747476,0.0
172,57.0,1189.0,-16.888888888888882,0.0
173,57.0,1124.0,-10.323232323232322,0.0
174,58.0,1074.0,-5.272727272727272,0.0
175,58.0,1091.0,-6.989898989898989,0.0
176,58.0,1131.0,-11.03030303030303,0.0
177,59.0,1064.0,-4.2626262626262665,0.0
178,59.0,1120.0,-9.919191919191917,0.0
179,59.0,1149.0,-12.848484848484846,0.0
180,60.0,1182.0,-16.18181818181818,0.0
181,60.0,1123.0,-10.22222222222222,0.0
182,60.0,1122.0,-10.121212121212121,0.0
183,61.0,1077.0,-5.575757575757574,0.0
184,61.0,1159.0,-13.858585858585858,0.0
185,61.0,1060.0,-3.8585858585858572,0.0
186,62.0,1090.0,-6.888888888888889,0.0
187,62.0,1123.0,-10.222222222222221,0.0
188,62.0,1182.0,-16.18181818181818,0.0
189,63.0,1140.0,-11.939393939393941,0.0
190,63.0,1123.0,-10.22222222222222,0.0
191,63.0,1104.0,-8.303030303030303,0.0
192,64.0,1092.0,-7.090909090909092,0.0
193,64.0,1073.0,-5.171717171717171,0.0
